id,CO_CHAVE_ACESSO,DT_STATUS,SITUACAO_NF_CO_SITUACAO,TP_ORIGEM_ATUALIZACAO,CO_CHAVE_ACESSO_CANCELAMENTO
0,KLGMI0VF8PG2VFTWMNS3KAFS8BP7CJ8Z7S0U0UE2MOUFD7FTKAXWDGZDH1WQP,1994-11-03,EXK391GQ,3,15N5Q0SP53O75CQQ6RULWBS4NKRIOOVW8UX9T4UE89CB4FKIVGRW3HSV36R7U
1,MO2ANP5X2MB75GH9NW1YTBQLVBYVDN79S47RCTRC5GUDV85HTC041QCHF5THQ,1999-10-02,YXBDZV,1,JIBGLJ46CMQAKKJ9WO85NVOO0EGFAB92ZX410H71LEQEW4OFHG15UDC1RMUBG
2,LVXAMOCS0YPX9MD9HTVNMX3HIPUIM2LGZE1D1PZNLTSOLVDOFO8YP5UF4K7XT,2000-02-15,15S,1,P1RKYU8YANTAN7QCKSTP9WX010TFOEBZZT5ZRNAQ43KW14K1NXX69YMT53YDG
3,4X1HAK3K0K2CE0J0YD7UZ1N8XYGEWZX3ALGLVCDV3FMCSDMXZYL62OHXMWJLI,2013-01-31,GIHR6J,1,TW5PCBAZ8Y5QTN4YNOA3DJXBW5PN90TWQKMYYXYWPGWUKTU8MWOTC5OGN3P23
4,ALMFQFI9C02J5ZDOKO21FL8THEZ4YL34JIR49LSU2K1WXZPKX8HQCG14Q1EE3,1994-09-28,2HGYUZMYQ7,1,YG9PVOG3JZ2KXNVB0OCC04VZIWB3FPY34F5YOWFX42JV8OA0ZNSSSZWAAVYWD
5,7QNPZSPTA40GKRVHOUEYJ8VA1OLTE1FKY7B0VUN9PY4FHM2CTJYJ23223K3FY,1999-07-21,IBZ51IRBND,3,K96A4SJC11U5T4EERSIAL5AG79W0J879UKPI27AV4ZVSUCORH308Z46G2HFIL
6,PZJDG2B3INYNRUNU2KTK7AIJJIWJ7CJGW0TH0AGYHWVUXE5Q6BN6SU6OL2UQ7,2013-10-28,Y14DG,2,ZFT04OIBQ0UCS9E2J62TTBOACPZ6ALZL05F5PPJ21DQLSCJAOPSMTNAR9EXHG
7,03BZ9CD4E7R7YAIH2K9DNUGC7NCG6KNJ7JLG94A9H0LE3MAHDRHR15QTWRP8T,2000-04-02,AUZCWS5WK,1,NCJM0MZ3ZIQH9RLHGF9MGHN28Y8WKI765J5RSUZ8ZG5EOXED2DZWIEJFQX8LJ
8,O0I5OHV9NBV55F3JVO5FZY5NWP7SQQPQ59BPA4ZBZ4EBYVDVPI6OWM3Q6KVH4,2011-06-29,WKOKS,2,47OY6FX3L8HET7DVG2TSIV5T3FNIEFXDJV96KKHKT8XWN1FB9N4FP9Z56I000
9,9K9UJ32NSP1J17RA2BP3CYX0R4BB9XJP9J5UGAVVUREWCUL16WBUTV6L71TOQ,1994-03-02,9U,2,8X2CA3LMPGQMO40SLF1Z9QXFK02BL5MSB1XCL8VGXP4QWENXVCZYXGUHI64F1
