id,DT_CONCESSAO_INSCRICAO,DT_INICIO_EXERCICIO,SQ_ESTABELECIMENTO,SQ_INSCRICAO_ESTABELECIMENTO,NU_INSCRICAO_ESTADUAL,SQ_ATIVIDADE_ECONOMICA,SQ_VERSAO_TABELA_ATIVIDADES,SQ_NIVEL_ATIVIDADE_ECONOMICA,IN_PRINCIPAL,NU_ORDEM,CO_ATIVIDADE_ECONOMICA,NO_ATIVIDADE_ECONOMICA
0,2010-03-29,2002-04-24,186566556,619114000,76883331,620444488,115541246,60979827,9,9,R18JJHA,N9E5OBXJZKTHGUM9HYVPKKFMO26V6K60PTW7II2MCYXSDQTKAD8ZEU0FUGLM5QDPHEA3QPLV3GH2W2RLBVTM2O6HTF5R2TQEMLXFT9IPTAPF1DY8B85TUPC3ADVHFJWB3EMZG9O3AIGJ4U0KS18F7GIPHJMUWT9QL0F9JFZY8XBZCTKX5A9Y7UHRO8S1IAG5PJYEVUMB
1,2009-11-23,2013-12-06,479915800,231771147,81421822,886676144,832188361,957869118,7,4,4VHBVBP,EE10RYDVEKPM4HCKVDL96LHT9ZAIEIOUCLU2D2SYTD0FZAMAV88ZPL0WDBNQZ4FGYUPO1S3O71QXEDGCG5SXLNHRUNOYMPAG3E54TPF78OOU3JT7LT2SNKRCET87680BCY607Y1Y9C10JVDVK3KXXFBN4JGW3RKKS5T16ZCWP8K7FLF7KM7O1DHTEAHFJFP984BS75P0
2,2017-02-18,2010-05-31,785547147,509523694,78206480,119564592,41253111,294046441,0,7,G0LMCIJ,JVE9DSTLUP3PIBRHRTF2T9PDRCZCRL0BGCZFJN70XIK2PRO3Y0UJ78I6C88961I3QRPSBDH6TSHTXKXBNRLBFV417ML7FLIKJJQM2EZXOUNMRNHID69388X8QEJBYXLAWFLBK18KZSZG472VIN0PUXPUHYMOZBFHKMUDUPUMXT8ENN3MJGVPLWG9A9V80E6NIQZU4II2
3,1991-03-17,2013-02-03,706958716,297961015,53278525,619322350,167975390,40316749,5,5,8ZA3VY0,SPSTZ33VVAYW6NWOZY6J1URC4HL4ATL77D8PFOY52FTHTL3SICW0DOU1V6Q5KGADWRXAJCQW3I5PQ0EBAOU8I4U290HLGE5R1VIC08RACGA12UOFHD2VPZVMNJNXRZS9NNP0IHVPK3U02TXPWMW6Y96C6Z953CFVA6JCD9ANS403IKA8GQGSK7D0GVQIQTW6VZABH33P
4,2007-11-15,1997-09-29,16798561,445471698,70319064,727911432,813327644,755152825,1,7,7ROGD7D,G9UFFC7735T1KWON1LKQDSLV0177NI9CYEF9Q584TVB8B09FV1E9UCT45AGKGTZTM1JB9L0P1Q0H3VDM8EGASOVVTPXY805VBLNH1CCVICZ1D9142PN7K1DWDM8T2Y5GE3OXO447JS8YCMEJKYDKQZAY3QPB7HQXPYTCI1AJXFV90UN27BUZH0I4TJXLR8VKUGGC1631
5,1990-06-23,2016-03-20,284884221,90972032,60803625,374379464,129879009,549718634,8,7,Z62QEZK,T34MOPQEF7Y5JHOSPXO2MOIW2P1RZR9UPW0OCVY8ZUP15YTWDKZRMBKPKSR90GWFH2VI1XBMUSAIFT4TLY5CXQYZOJKZ8CBEQOPSBTQY4LUJGWGRVW5QQC3IQNMYAUYM2VA598TZB1MTT2UG3ALHWB1YHUAUE649MI5EZ7BJHGSH47LDWZ85CKGIE31ZGP4PMZSGMDE0
6,2018-07-01,2012-09-25,500558898,467155861,54208194,257812998,829648115,732958854,0,4,4BDTOLB,BD6NRG2MQYFA1FY0WFFX1IXY1VV8CAF744TG96Q7H4QOBZKZHKWWI1ESLG5JZ3MFZPAM5WQ02T2KRLCVVL4JLKW8TWLUSRLHUZSOHAXMOFEM3U6KCDGH1K0W4UP2K70KEZBJ5DIAAVZF07RZPDALNI85BOYRLS5A7A4Z1QGLXLP5DQE73RXQNLFLB31M0GEW6RICTLU4
7,1995-08-23,2005-10-15,741785827,476959232,6730680,627765168,953955847,782001755,9,3,PJ7NS2A,70YLDUDW57UTNQIA71668H6O2H1HJMFQSXW8LED92TUEIV94QKEQ5C4RO0QXB5U27LECRCJ8HTW5SO3XP10LX4O6I5DY9KXD0GCJJCP1HVDS7K9PMALZ8OJM1M3HVTXKKE33TE0T5S044QQ69DB8CE4ZKNIT4FI6OSII1JOGGHTL6HTXMZ7PJVGLOWRW1GU68H2J4NKS
8,1997-01-01,1990-04-14,672590423,681449836,14571584,698178225,606221414,652771691,8,6,JMRZZGI,U5FHEBDTI6HPNRAFPWXVN54OTXW84S9HBR8IR9MCD16LN9S6SS7ONJH4NUD0IOPUIAESZU8A5I1D21ADC0AHP0G0X9Q884EBPYHJLUDNW8TJOHTHNC7X2KKPEA3JXIZ98ZQ8DR3F901TD3AM0JDZQWETYYEGTSB2RZ3PRSEULT2918U29UBTS86XWXOPRJAFGJNIRKJ5
9,2015-12-15,2001-07-31,395977772,374200911,37330548,50100404,485489275,823676718,4,3,NJXO9R8,NIQOR4FCN9KQ64916LS77MU6WTI3AHWBJ5AJ6BNEX3SJ7FA4CIVV5DJGBEQMBDF5Z671FP4IT7PFSVE6DP3TYLCEI6B9I4XOJ43G7NQP8PBG53P0DXOKCLFSGLSULPXO707E65M4YOIQDZRY27LAYVFFBPR5DKKB84383ZGYR9DIRJK4C7J1MHJ5EJCTIMFMUU169RDZ
